,證券代碼,年月日,開盤價(元),最低價(元),最高價(元),收盤價(元),成交量(千股),報酬率％,SMA,WMA,Momentum,Stoch K%,Stoch D%,RSI,MACD,LW R%,A/D oscillator,CCI
34,Y9999 加權指數,2013-02-27,7886.03,7873.29,7912.85,7897.98,3081490,0.2167,7945.879000000001,7939.344363636363,-8.670000000000073,16.94432127699998,64.70830055330785,51.054759041727124,61.29897412183461,83.05567872300003,0.8076339737108292,-121.52000607177764
35,Y9999 加權指數,2013-03-01,7917.72,7917.72,7964.63,7964.63,3337408,0.8439,7951.676999999999,7942.753636363635,21.100000000000364,59.16260214100214,61.7741748255457,58.770874104648065,59.52687598508567,40.83739785899786,1.4208057983372575,-13.047412938718704
36,Y9999 加權指數,2013-03-04,7966.22,7849.52,7966.22,7867.34,3543349,-1.2215,7944.058,7927.419636363636,-93.53999999999996,9.92315402606065,54.45427683982517,46.80364860386423,56.45264575962893,90.07684597393934,0.013624678663240342,-107.77087713362474
37,Y9999 加權指數,2013-03-05,7910.44,7882.56,7939.85,7932.71,3593008,0.8309,7941.241,7925.356363636363,-96.39000000000033,46.32475776812542,50.48805237293338,53.82339042081832,53.637693767861684,53.67524223187458,1.265665910281031,-48.44989452284964
38,Y9999 加權指數,2013-03-06,7958.11,7936.86,7982.39,7950.3,3923678,0.2217,7933.361,7927.0034545454555,-7.1599999999998545,58.93567251461973,46.381619624395356,55.57606451657078,51.29120380756429,41.06432748538027,1.0911486931693295,42.30539429448006
39,Y9999 加權指數,2013-03-07,7950.9,7942.37,7984.29,7960.51,3629314,0.1284,7933.665999999999,7931.939636363636,12.789999999999964,74.7810268157933,46.99907375207461,56.63754110432407,49.40733521235731,25.218973184206707,0.8108301526717491,61.639952784766
40,Y9999 加權指數,2013-03-08,7981.0,7981.0,8029.14,8015.14,4161212,0.6863,7940.408,7946.753090909092,28.25,92.20576773187841,49.78582055155517,62.03119709646968,48.67116466359419,7.7942322681215925,1.4256335687577824,130.2475419408789
41,Y9999 加權指數,2013-03-11,8021.88,8001.85,8089.21,8038.72,4284798,0.2942,7945.5909999999985,7964.628000000001,91.03999999999996,78.93529141808175,49.82090220477886,64.1686781008057,48.95821399113861,21.064708581918257,0.847870879120879,164.01568578645453
42,Y9999 加權指數,2013-03-12,8039.0,7986.59,8063.23,7994.71,4200531,-0.5475,7950.294,7973.558727272727,113.8100000000004,60.57407484667689,50.807179475753216,57.46042760990956,49.05781059494515,39.42592515332311,0.31980688935281176,93.8291812950484
43,Y9999 加權指數,2013-03-13,8018.9,7962.42,8047.56,7995.51,3736890,0.01,7961.755,7981.779818181819,97.53000000000065,60.90783929241938,55.86945078316577,57.55005884479172,48.93564530357132,39.09216070758062,0.6207423067888203,59.212190187150455
44,Y9999 加權指數,2013-03-14,8002.42,7946.29,8002.71,7951.76,3529811,-0.5472,7967.133,7979.962545454546,-12.86999999999989,42.65509616588091,58.44052827205386,51.01819784256008,47.87134812666676,57.3449038341191,0.12761432116270488,-8.555806275150692
45,Y9999 加權指數,2013-03-15,7989.67,7924.94,7999.92,7927.49,4000121,-0.3052,7963.419,7972.754727272727,60.149999999999636,32.52951729317012,55.77721978727065,47.6824089369967,45.77601099174785,67.47048270682987,0.6423046145638777,-38.59067807206758
46,Y9999 加權指數,2013-03-18,7886.69,7807.61,7888.16,7811.34,3407599,-1.4652,7957.819,7945.103999999999,-121.36999999999989,1.3245738636365298,54.91736177102824,35.38109201045028,41.18684081901138,98.67542613636347,-0.488268156424579,-210.93092703894885
47,Y9999 加權指數,2013-03-19,7843.47,7823.81,7863.77,7838.47,3096067,0.3473,7948.395000000001,7923.404181818181,-111.82999999999993,10.95880681818201,51.3807666760339,39.43613158495643,35.614126458819705,89.04119318181799,1.3120620620620682,-156.21786119980044
48,Y9999 加權指數,2013-03-20,7834.73,7786.56,7844.54,7798.03,3313050,-0.5159,7933.168000000001,7896.065090909091,-162.48000000000047,3.7898562696181592,45.86618505153375,35.723294989387426,28.99070817219011,96.21014373038183,0.1046912728527036,-129.97833343851076
49,Y9999 加權指數,2013-03-21,7828.95,7811.84,7843.16,7811.84,3029867,0.1771,7918.301000000001,7874.005454545454,-203.30000000000018,8.352882867999265,39.22337065675434,37.94027313063628,22.210194347440655,91.64711713200073,1.4409323116219837,-87.53263860222759
50,Y9999 加權指數,2013-03-22,7811.52,7796.22,7832.59,7796.22,2900280,-0.2,7896.4090000000015,7851.808909090909,-242.5,3.191805716173754,30.321974455183874,36.36402496460343,15.386832319018897,96.80819428382624,0.5705251580973347,-78.50754564549987
51,Y9999 加權指數,2013-03-25,7862.58,7854.47,7877.05,7856.12,2975401,0.7683,7878.149,7844.483636363636,-138.59000000000015,25.141865760653378,24.94263188944104,45.934764996160496,9.814905591622543,74.85813423934661,3.5797165633303893,-26.196254291240844
52,Y9999 加權指數,2013-03-26,7873.7,7845.56,7876.68,7856.36,3034380,0.0031,7864.314,7840.521999999999,-139.15000000000055,26.74329501915681,21.559553906689032,45.97094029572532,5.300902777435051,73.2567049808432,0.6606683804627401,-18.783099020840556
53,Y9999 加權指數,2013-03-27,7872.75,7857.32,7894.26,7894.12,3123936,0.4806,7854.175,7845.941272727273,-57.64000000000033,49.761739532731745,20.44494393072027,51.62888121216752,2.276974579957047,50.23826046726825,1.0259880887926374,28.772040204565304
54,Y9999 加權指數,2013-03-28,7905.71,7844.84,7905.71,7866.88,3067143,-0.3451,7845.687,7848.2512727272715,-60.60999999999967,37.64529433820765,19.943963747952942,47.63080109453745,-0.0942723786442754,62.35470566179235,0.19040578281583975,38.69794586513589
55,Y9999 加權指數,2013-03-29,7904.5,7883.81,7931.7,7918.61,2709119,0.6576,7844.799000000001,7861.51,107.26999999999953,90.9811216756234,25.78912418619827,54.986070300359934,-1.1065898942422665,9.018878324376601,1.3535184798496658,150.21066808347712
56,Y9999 加權指數,2013-04-01,7934.25,7896.57,7937.73,7899.24,2691053,-0.2446,7853.589,7871.408363636363,60.76999999999953,74.53859892835881,33.1105266926705,51.95038963720459,-1.5206042996891747,25.4614010716412,0.46452866861030023,117.72330008743948
57,Y9999 加權指數,2013-04-02,7897.16,7879.55,7924.46,7913.18,2836215,0.1765,7861.06,7882.243090909091,115.15000000000055,83.7600052920557,40.390646540057865,53.98191651475067,-1.3120402643005429,16.239994707944305,0.5615675796036592,85.81440695019971
58,Y9999 加權指數,2013-04-03,7949.12,7913.77,7954.15,7942.35,3097976,0.3686,7875.492,7897.0230909090915,130.51000000000022,92.52833533844151,49.2644944469402,58.100714272009604,-0.2558086763647176,7.471664661558486,1.0146111936602318,123.3728382783556
59,Y9999 加權指數,2013-04-08,7831.22,7747.47,7843.1,7752.79,3929740,-2.3867,7869.5869999999995,7874.713636363636,-43.43000000000029,2.574027482097796,48.68660890835005,35.292473187387984,-1.7473809423221573,97.42597251790221,-1.03785422984419,-168.9555090194355
60,Y9999 加權指數,2013-04-09,7766.62,7714.93,7781.13,7728.54,3170515,-0.3128,7862.819,7849.068727272728,-127.57999999999993,5.689323635147441,48.93636070024742,33.42723901461046,-5.140588574117389,94.31067636485255,0.4280966767371635,-188.4209943973375
61,Y9999 加權指數,2013-04-10,7772.95,7739.99,7772.95,7752.8,2879662,0.3139,7852.486999999999,7829.065272727272,-103.55999999999949,15.830616169216619,48.005235741103746,37.12119803091367,-9.149056289103477,84.16938383078339,1.3473907766990232,-115.78372998718605
62,Y9999 加權指數,2013-04-11,7788.58,7788.58,7857.98,7857.98,3321592,1.3567,7852.649,7830.064,-36.14000000000033,59.7985118301144,51.3107574221995,50.383562112157854,-11.634088583334353,40.2014881698856,1.5155619596541776,-20.402670351133906
63,Y9999 加權指數,2013-04-12,7861.12,7810.54,7864.86,7821.63,3088840,-0.4626,7845.4,7824.424181818182,-45.25,44.60329403896,50.79491287282233,46.60860894314003,-13.58741814922733,55.396705961040006,0.12665684830633553,-17.912015364302484
64,Y9999 加權指數,2013-04-15,7815.32,7753.24,7835.12,7763.53,2974976,-0.7428,7835.065,7809.538727272728,-155.07999999999993,20.316027088035945,49.061986147805165,41.13511520966311,-16.001073074760903,79.68397291196405,0.1647532975085462,-60.1230958742503
65,Y9999 加權指數,2013-04-16,7690.91,7688.62,7801.05,7801.05,3072808,0.4833,7823.308999999999,7803.354181818181,-98.1899999999996,42.341731631077614,44.198047143350585,45.709828542893085,-17.941643869329408,57.658268368922386,0.33371875833852477,-68.36182862517147
66,Y9999 加權指數,2013-04-17,7822.81,7791.53,7822.81,7809.07,3378622,0.1028,7814.2919999999995,7800.7652727272725,-104.11000000000058,45.36210597672577,41.280397848187285,46.69373735554291,-19.315119716525203,54.637894023274235,0.6956521739130359,-8.565117333087345
67,Y9999 加權指數,2013-04-18,7781.48,7757.33,7826.13,7791.35,3336739,-0.2269,7802.1089999999995,7796.594,-151.0,38.688660415019235,36.77326336048363,44.704740680751165,-20.499840749522583,61.311339584980765,0.24796511627907492,-18.770815923147325
68,Y9999 加權指數,2013-04-19,7868.9,7862.92,7933.72,7930.8,3763283,1.7898,7800.954,7819.992363636363,178.01000000000022,98.80864953080372,37.401294779719855,59.71104414533988,-19.232582298957716,1.1913504691962729,2.0108757062146827,197.87273171640672
69,Y9999 加權指數,2013-04-22,7976.1,7950.01,7996.55,7970.38,3449980,0.4991,7822.713000000001,7850.797090909092,241.84000000000015,91.50131523398173,46.29402355490825,62.887351605018424,-15.819591663969646,8.498684766018272,1.4127632144391933,187.79980910364617
70,Y9999 加權指數,2013-04-23,7955.92,7913.6,7968.79,7942.77,3488256,-0.3464,7844.136,7872.625636363637,189.97000000000025,82.53499171889725,53.97859036328323,59.26584634421798,-11.645057649436172,17.465008281102744,-0.028809566950537362,111.83144953920137
71,Y9999 加權指數,2013-04-24,7977.4,7968.28,8025.45,8023.71,4230701,1.019,7871.227000000001,7905.2754545454545,165.73000000000047,99.48341893536805,62.34387063989836,65.6997853160341,-5.894147099996317,0.5165810646319491,1.4462130488018066,126.88048243647526
72,Y9999 加權指數,2013-04-25,8015.38,7994.19,8026.46,8021.75,3471159,-0.0244,7887.603999999999,7932.643272727273,200.1199999999999,98.60584892256689,66.22460434914362,65.42175586782183,0.5254967863373965,1.3941510774331145,0.08521846916640728,101.78736803111651
